HZ,fft
98.28419124,2.696123
98.61735799,1.159352
98.95052474,2.422691
99.28369149,0.09004816
99.61685824,2.3577192
99.95002499,1.3627671
100.2831917,3.1390295
100.6163585,4.8868675
100.9495252,4.956661
101.282692,2.4315846
101.6158587,4.195552
101.9490255,4.1747904
102.2821922,5.421813
102.615359,4.448114
102.9485257,12.145861
103.2816925,18.76231
103.6148592,18.542477
103.948026,2.5243154
104.2811927,5.0133533
104.6143595,0.6039581
104.9475262,6.274285
105.280693,1.0439076
105.6138597,5.229875
105.9470265,1.4221708
106.2801932,3.342021
106.61336,1.4566703
106.9465267,4.270237
107.2796935,1.9333239
107.6128602,4.731277
107.946027,0.5673248
108.2791937,3.7862785
108.6123605,1.719483
108.9455272,2.1876614
109.278694,2.3269832
109.6118607,6.9729247
109.9450275,6.134968
110.2781942,10.521597
110.611361,29.148897
110.9445277,14.001877
111.2776945,3.728396
111.6108612,4.3973575
111.944028,3.7676823
112.2771947,2.7647724
112.6103615,5.679239
112.9435282,2.8993404
113.276695,4.2536182
113.6098617,0.9327814
113.9430285,5.024173
114.2761952,2.1305952
114.609362,4.4023957
114.9425287,1.2503155
115.2756955,2.2243783
115.6088622,2.2496965
115.942029,1.3572527
116.2751957,3.3398743
116.6083625,1.4241767
116.9415292,4.534196
117.274696,3.5903203
117.6078627,11.791242
117.9410295,26.767645
118.2741962,9.6391
118.607363,4.611244
118.9405297,4.968297
119.2736965,2.2242537
119.6068632,4.9669876
119.94003,0.5970975
120.2731967,4.5186243
120.6063635,5.340742
120.9395302,4.702274
121.272697,2.080714
121.6058637,4.0338206
121.9390305,6.8375416
122.2721972,6.195088
122.605364,5.06157
122.9385307,4.996829
123.2716975,9.785544
123.6048642,7.176992
123.938031,13.063105
124.2711977,15.227432
124.6043645,27.217884
124.9375312,64.77439
125.270698,155.4994
125.6038647,39.382507
125.9370315,17.597874
126.2701982,17.019464
126.603365,8.134833
126.9365317,10.327181
127.2696985,5.084339
127.6028652,6.574909
127.936032,4.5818152
128.2691987,6.706664
128.6023655,3.0557847
128.9355322,0.8183382
129.268699,2.9393268
129.6018657,3.6802218
129.9350325,4.3503637
130.2681992,1.0473675
130.601366,3.576502
130.9345327,2.1426604
131.2676995,2.1743927
131.6008662,4.9304547
131.934033,5.251456
132.2671997,21.067102
132.6003665,20.302406
132.9335332,7.4030957
133.2667,7.217411
133.5998667,1.1831015
133.9330335,6.8213096
134.2662002,3.6973917
134.599367,5.4990115
134.9325337,2.5412805
135.2657005,4.8434167
135.5988672,5.6254687
135.932034,1.0205505
136.2652007,3.7004993
136.5983675,2.324742
136.9315342,3.4214933
137.264701,0.6586428
137.5978677,4.005915
137.9310345,0.90852755
138.2642012,4.1820707
138.597368,1.1425208
138.9305347,5.056644
139.2637015,5.3984
139.5968682,25.262796
139.930035,13.513941
140.2632017,5.933488
140.5963685,3.5151374
140.9295352,1.6469734
141.262702,2.317587
141.5958687,1.144294
141.9290355,1.7678725
142.2622022,2.4656155
142.595369,1.5538499
