HZ,fft
56.63834749,(2.4765172004699707-0.1796850562095642j)
56.97151424,(1.4208520650863647+0.38001924753189087j)
57.30468099,(-0.759634256362915-0.4386883080005646j)
57.63784774,(-0.3982214033603668+0.17370280623435974j)
57.97101449,(-0.44649064540863037+0.4191679358482361j)
58.30418124,(-0.7452811002731323-0.5615167617797852j)
58.63734799,(-1.6417495012283325+0.7159323692321777j)
58.97051474,(-0.623357892036438-0.4118911623954773j)
59.30368149,(-2.9497580528259277+1.2220888137817383j)
59.63684824,(-3.8541040420532227-0.34494251012802124j)
59.97001499,(-1.6710642576217651+5.40147590637207j)
60.30318174,(-0.7275739312171936-1.6762052774429321j)
60.63634849,(-0.00026832520961761475+0.6060112714767456j)
60.96951524,(0.4832707941532135-1.1242237091064453j)
61.30268199,(0.42719846963882446+1.0512874126434326j)
61.63584874,(0.6667514443397522-0.8312971591949463j)
61.96901549,(-0.17457038164138794-0.36323803663253784j)
62.30218224,(0.9487914443016052-1.3378403186798096j)
62.63534899,(0.3393178880214691-0.6587533950805664j)
62.96851574,(-0.20348426699638367-1.1657201051712036j)
63.30168249,(0.7904364466667175+1.1089928150177002j)
63.63484924,(1.8976012468338013+0.6803140640258789j)
63.96801599,(-1.4432389736175537-0.38355588912963867j)
64.30118274,(-2.0364737510681152-1.2716748714447021j)
64.63434949,(-0.25228846073150635-0.24637308716773987j)
64.96751624,(-0.8190342783927917-0.3025243282318115j)
65.30068299,(-1.5088962316513062-1.0219590663909912j)
65.63384974,(-0.8031958937644958-0.5521785020828247j)
65.96701649,(-0.2001277357339859-0.7966960668563843j)
66.30018324,(-0.9452332258224487-0.11115749180316925j)
66.63334999,(0.3771634101867676-0.7863864898681641j)
66.96651674,(3.724372386932373+0.8974747657775879j)
67.29968349,(7.216343402862549-0.415963739156723j)
67.63285024,(1.5604441165924072+0.6950650811195374j)
67.96601699,(0.6869035959243774-1.0499682426452637j)
68.29918374,(-0.18918082118034363+0.03700624778866768j)
68.63235049,(-0.36570101976394653+0.27671948075294495j)
68.96551724,(-1.1641497611999512-0.03958670794963837j)
69.29868399,(0.4881719946861267-0.41642147302627563j)
69.63185074,(-1.2456023693084717+1.5372204780578613j)
69.96501749,(0.07783389836549759-0.47238367795944214j)
70.29818424,(-1.1158432960510254+1.1045154333114624j)
70.63135099,(0.7889192700386047-1.1262507438659668j)
70.96451774,(-1.0931137800216675-1.4879950284957886j)
71.29768449,(-0.18415753543376923-1.8444397449493408j)
71.63085124,(0.43032729625701904+1.4845736026763916j)
71.96401799,(0.9263247847557068+0.14172914624214172j)
72.29718474,(1.1002774238586426+0.05459155887365341j)
72.63035149,(1.094759464263916+0.8040734529495239j)
72.96351824,(0.36148518323898315+2.6784725189208984j)
73.29668499,(0.7060201168060303-0.4344128966331482j)
73.62985174,(1.8788666725158691-0.2429768294095993j)
73.96301849,(3.5712199211120605+1.7369760274887085j)
74.29618524,(-2.0469446182250977-0.20987027883529663j)
74.62935199,(-5.591958999633789-4.854729652404785j)
74.96251874,(-2.029188394546509-2.887866973876953j)
75.29568549,(-1.059594750404358-2.5202858448028564j)
75.62885224,(-0.47083890438079834-0.2109944373369217j)
75.96201899,(0.14238159358501434-1.641373634338379j)
76.29518574,(1.9480823278427124-4.823352336883545j)
76.62835249,(-2.137202739715576+1.1085284948349j)
76.96151924,(-1.5490413904190063+0.41484859585762024j)
77.29468599,(-0.2858712077140808-1.4491816759109497j)
77.62785274,(1.6853978633880615+0.4659103751182556j)
77.96101949,(-1.4476066827774048-0.42309796810150146j)
78.29418624,(-0.24203936755657196-1.1121766567230225j)
78.62735299,(-0.0006300508975982666+2.447262763977051j)
